============ TABLE 4: SORTED BY CUSTOM ASYMMETRIC VALUE SCORE ============

Symbol  | Trailing  Forward   Blended  | P/B Ratio  P/S Ratio | Final Value
---------------------------------------------------------------------------
MEGAP   |      2.37       N/A      2.37  |       0.23       0.05 |       0.1983
HLGYO   |      1.41       N/A      1.41  |       0.44       1.80 |       0.2387
IHGZT   |      3.93       N/A      3.93  |       0.21       0.38 |       0.2400
ATEKS   |      1.45       N/A      1.45  |       0.34       3.72 |       0.2537
GLRYH   |      2.92       N/A      2.92  |       0.33       0.05 |       0.2702
SRVGY   |      3.21       N/A      3.21  |       0.28       1.90 |       0.2870
ADESE   |      2.39       N/A      2.39  |       0.31       3.24 |       0.2974
EDIP    |      4.02       N/A      4.02  |       0.29       2.85 |       0.3336
A1CAP   |      2.92       N/A      2.92  |       0.65       0.21 |       0.3559
ALBRK   |      2.40      4.26      2.96  |       0.67       0.76 |       0.3752
TSKB    |      2.75      3.27      2.91  |       0.66       1.63 |       0.3856
SEKFK   |      4.05       N/A      4.05  |       0.48       0.82 |       0.3978
IHLGM   |      3.29       N/A      3.29  |       0.72       0.91 |       0.4111
MRGYO   |      1.04       N/A      1.04  |       0.19      15.11 |       0.4168
MTRYO   |      3.99       N/A      3.99  |       0.64       0.07 |       0.4200
TUREX   |      2.53       N/A      2.53  |       0.98       0.89 |       0.4256
ISCTR   |      4.04      2.44      3.56  |       0.73       0.77 |       0.4289
RGYAS   |      3.56       N/A      3.56  |       0.44       4.78 |       0.4369
SISE    |     11.02      3.91      8.89  |       0.31       0.56 |       0.4415
HDFGS   |      3.60       N/A      3.60  |       0.72       2.51 |       0.4645
ESCOM   |      2.90       N/A      2.90  |       0.98       1.73 |       0.4657
AKFGY   |      6.16       N/A      6.16  |       0.30       6.12 |       0.4683
LIDFA   |      2.97       N/A      2.97  |       1.07       0.61 |       0.4713
KIMMR   |      5.07       N/A      5.07  |       0.68       0.23 |       0.5016
ATLAS   |      4.96       N/A      4.96  |       0.74       0.07 |       0.5065
CATES   |      5.75       N/A      5.75  |       0.59       1.01 |       0.5118
OYYAT   |      4.80       N/A      4.80  |       0.78       0.39 |       0.5138
VAKBN   |      3.80      5.24      4.23  |       0.88       1.18 |       0.5179
VAKFN   |      3.75       N/A      3.75  |       0.76       4.39 |       0.5213
ISFIN   |      3.38       N/A      3.38  |       1.06       2.67 |       0.5369
NTHOL   |     12.92       N/A     12.92  |       0.27       0.80 |       0.5429
MHRGY   |      3.41       N/A      3.41  |       0.47      10.46 |       0.5473
AKSGY   |      6.96       N/A      6.96  |       0.45       4.86 |       0.5494
RTALB   |      5.10       N/A      5.10  |       0.52       6.03 |       0.5544
ACSEL   |      0.02       N/A      0.02  |       2.10       1.77 |       0.5608
PLTUR   |      9.03       N/A      9.03  |       0.53       0.61 |       0.5712
MNDTR   |      6.51       N/A      6.51  |       0.69       0.35 |       0.5774
GARAN   |      4.29      3.64      4.10  |       1.15       1.36 |       0.5789
SNGYO   |     14.36       N/A     14.36  |       0.22       1.87 |       0.5803
ULKER   |      9.60      2.99      7.62  |       0.65       0.29 |       0.5855
PGSUS   |      8.84      4.21      7.45  |       0.66       0.47 |       0.5908
ANSGR   |      4.02      0.97      3.11  |       1.52       0.51 |       0.5911
KZBGY   |     10.35       N/A     10.35  |       0.34       5.11 |       0.5959
AKBNK   |      5.23      3.61      4.74  |       1.08       1.56 |       0.6090
YKBNK   |      5.84      3.43      5.12  |       1.02       1.31 |       0.6111
TTKOM   |      6.63      6.87      6.70  |       0.73       0.72 |       0.6117
MERKO   |      1.71       N/A      1.71  |       0.69      16.50 |       0.6143
