========================= TABLE 3_2: SORTED BY forward P/E =========================

Symbol  | Trailing  Forward   Blended  | P/B Ratio  P/S Ratio | Final Value
---------------------------------------------------------------------------
AGHOL   |       N/A      0.24       N/A  |       0.68       0.12 |       3.3202
FROTO   |      9.00      0.43      6.43  |       1.70       0.34 |       0.8478
AEFES   |     14.78      0.71     10.56  |       1.08       0.52 |       0.9136
ANSGR   |      4.02      0.97      3.11  |       1.52       0.51 |       0.5911
VESBE   |       N/A      1.27       N/A  |       0.24       0.14 |       3.0737
OZKGY   |       N/A      1.30       N/A  |       0.25       2.95 |       3.1375
DOAS    |     13.81      1.71     10.18  |       0.60       0.16 |       0.6340
TKNSA   |       N/A      1.72       N/A  |      10.01       0.04 |       8.4488
TURSG   |      5.86      1.79      4.64  |       2.53       1.25 |       0.9566
TRGYO   |     11.12      2.27      8.47  |       0.64       5.50 |       0.7094
MAVI    |     16.48      2.35     12.24  |       2.23       0.64 |       1.3614
VESTL   |       N/A      2.41       N/A  |       0.29       0.06 |       3.0997
ISCTR   |      4.04      2.44      3.56  |       0.73       0.77 |       0.4289
ULKER   |      9.60      2.99      7.62  |       0.65       0.29 |       0.5855
SAHOL   |     21.76      3.04     16.14  |       0.46       0.67 |       0.7390
AYDEM   |       N/A      3.13       N/A  |       0.39       1.33 |       3.1815
TSKB    |      2.75      3.27      2.91  |       0.66       1.63 |       0.3856
YKBNK   |      5.84      3.43      5.12  |       1.02       1.31 |       0.6111
AKBNK   |      5.23      3.61      4.74  |       1.08       1.56 |       0.6090
TTRAK   |       N/A      3.63       N/A  |       2.43       0.88 |       4.2943
GARAN   |      4.29      3.64      4.10  |       1.15       1.36 |       0.5789
SISE    |     11.02      3.91      8.89  |       0.31       0.56 |       0.4415
ALARK   |     23.89      3.91     17.90  |       0.50       4.78 |       0.8975
SOKM    |       N/A      4.03       N/A  |       0.79       0.11 |       3.3789
PGSUS   |      8.84      4.21      7.45  |       0.66       0.47 |       0.5908
ALBRK   |      2.40      4.26      2.96  |       0.67       0.76 |       0.3752
THYAO   |     31.31      4.36     23.23  |      19.85      17.14 |       6.8074
PETKM   |       N/A      4.54       N/A  |       0.71       0.52 |       3.3413
BRISA   |       N/A      4.75       N/A  |       0.94       0.57 |       3.4692
VAKBN   |      3.80      5.24      4.23  |       0.88       1.18 |       0.5179
AKGRT   |      4.52      5.80      4.90  |       1.39       0.61 |       0.6768
ARCLK   |       N/A      6.28       N/A  |       0.84       0.12 |       3.4068
KCHOL   |     20.34      6.54     16.20  |       0.69       0.18 |       0.8616
ANHYT   |      7.51      6.77      7.29  |       3.57       1.20 |       1.3889
TTKOM   |      6.63      6.87      6.70  |       0.73       0.72 |       0.6117
EREGL   |    604.86      6.87    425.46  |       0.96       1.32 |      13.0698
BIMAS   |     21.53      7.27     17.26  |       2.43       0.62 |       1.7356
ODAS    |     38.57      7.36     29.21  |       0.72       1.20 |       1.2811
CIMSA   |     12.56      7.50     11.04  |       1.22       0.93 |       1.0163
MGROS   |     15.38      7.67     13.07  |       1.28       0.26 |       1.0924
TCELL   |     11.76      7.93     10.61  |       0.74       0.88 |       0.7385
AKCNS   |     71.00      8.22     52.16  |       1.65       1.83 |       2.4803
MPARK   |     13.58      8.31     12.00  |       1.93       1.39 |       1.2856
HALKB   |      8.87      8.38      8.72  |       1.19       1.59 |       0.8932
TOASO   |     11.75      8.54     10.78  |       2.26       0.31 |       1.2678
CCOLA   |     14.29      9.64     12.89  |       3.02       1.31 |       1.6163
LOGO    |     18.85     10.31     16.29  |       2.59       2.17 |       1.7439
ORGE    |     10.80     10.49     10.71  |       1.78       2.15 |       1.1811
TKFEN   |       N/A     11.06       N/A  |       1.56       1.11 |       3.8187
PNSUT   |       N/A     12.05       N/A  |       0.28       0.23 |       3.1017
AGESA   |      7.12     13.38      9.00  |       4.21       0.90 |       1.6528
TAVHL   |     16.70     13.52     15.74  |       1.27       1.20 |       1.1878
TUPRS   |     17.15     14.21     16.27  |       1.61       0.64 |       1.3745
KRDMB   |    538.80     14.27    381.44  |      16.07       2.62 |      20.1109
AKSEN   |     15.78     17.03     16.15  |       1.80       2.91 |       1.5255
ENJSA   |     24.39     17.14     22.21  |       1.26       0.56 |       1.3597
AYGAZ   |     11.46     19.32     13.82  |       0.82       0.79 |       0.8741
